profile_id,event_day,event_ts,event_id,show_id,event_type,progress_seconds,device_type,locale
profile_alex,2026-03-17,1773766197990,seed-profile_alex-0,show_154,progress,2658,mobile,en-US
profile_liam,2026-03-17,1773762597990,seed-profile_liam-0,show_274,progress,909,mobile,en-US
profile_mia,2026-03-17,1773755397990,seed-profile_mia-0,show_15,progress,2436,web,en-US
profile_alex,2026-03-17,1773748197990,seed-profile_alex-1,show_11,progress,362,web,en-US
profile_mia,2026-03-17,1773737397990,seed-profile_mia-1,show_145,progress,562,tv,en-US
profile_liam,2026-03-17,1773737397990,seed-profile_liam-1,show_18,progress,1345,tv,en-US
profile_alex,2026-03-17,1773726597990,seed-profile_alex-2,show_231,progress,1192,tv,en-US
profile_liam,2026-03-17,1773726597990,seed-profile_liam-2,show_277,progress,3044,mobile,en-US
profile_mia,2026-03-17,1773722997990,seed-profile_mia-2,show_281,progress,2814,tv,en-US
profile_alex,2026-03-17,1773712197990,seed-profile_alex-3,show_217,progress,2538,web,en-US
profile_liam,2026-03-17,1773712197990,seed-profile_liam-3,show_27,progress,1178,web,en-US
profile_mia,2026-03-16,1773704997990,seed-profile_mia-3,show_147,progress,2604,web,en-US
profile_mia,2026-03-16,1773694197990,seed-profile_mia-4,show_271,progress,427,tv,en-US
profile_liam,2026-03-16,1773686997990,seed-profile_liam-4,show_200,progress,1883,mobile,en-US
profile_alex,2026-03-16,1773683397990,seed-profile_alex-4,show_207,progress,1142,mobile,en-US
profile_liam,2026-03-16,1773676197990,seed-profile_liam-5,show_228,progress,1104,tv,en-US
profile_mia,2026-03-16,1773672597990,seed-profile_mia-5,show_265,progress,1425,web,en-US
profile_alex,2026-03-16,1773668997990,seed-profile_alex-5,show_167,progress,266,web,en-US
profile_mia,2026-03-16,1773654597990,seed-profile_mia-6,show_227,progress,653,mobile,en-US
profile_liam,2026-03-16,1773650997990,seed-profile_liam-6,show_134,progress,1110,tv,en-US
profile_alex,2026-03-16,1773647397990,seed-profile_alex-6,show_15,progress,1633,mobile,en-US
profile_alex,2026-03-16,1773636597990,seed-profile_alex-7,show_8,progress,1121,mobile,en-US
profile_mia,2026-03-16,1773632997990,seed-profile_mia-7,show_120,progress,2097,tv,en-US
profile_liam,2026-03-16,1773629397990,seed-profile_liam-7,show_183,progress,1860,tv,en-US
